locality_name,bhks,per_sq_ft_area,price_per_sq_ft_area,construction_status,price,appt_name,appt_link
bopal,3,2214,6323,Ready to move,13999122,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,2,1273,4870,Ready to move,6199510,Shaligram Prime,https://www.makaan.com/ahmedabad/shaligram-buildcon-prime-in-bopal-2008198
bopal,3,2025,5925,Ready to move,11998125,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,3,2011,6514,Ready to move,13099654,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,3,1435,4444,Ready to move,6377140,Sun South Park,https://www.makaan.com/ahmedabad/sun-builders-south-park-in-bopal-675534
bopal,4,3725,8724,Ready to move,32496900,Gala Luxuria,https://www.makaan.com/ahmedabad/gala-infrastructure-luxuria-in-bopal-648125
bopal,5,5470,6672,Ready to move,36495840,Gala Aria,https://www.makaan.com/ahmedabad/gala-infrastructure-aria-in-bopal-647797
bopal,3,1850,7297,Ready to move,13499450,Gala Luxuria,https://www.makaan.com/ahmedabad/gala-infrastructure-luxuria-in-bopal-648125
bopal,4,3800,5921,Ready to move,22499800,Sukirti Sukirti Greens,https://www.makaan.com/ahmedabad/sukirti-greens-sukirti-greens-in-bopal-3005097
bopal,2,1113,5840,Ready to move,6499920,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,4,3800,6184,Ready to move,23499200,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,1450,5862,Ready to move,8499900,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,804,9266,Under Construction,7449864,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,872,8830,Under Construction,7699760,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,874,8924,Under Construction,7799576,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,840,8928,Under Construction,7499520,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,893,8790,Under Construction,7849470,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,3,848,8903,Under Construction,7549744,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,3,866,8775,Under Construction,7599150,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,5,5615,8014,Ready to move,44998610,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,5,3725,8053,Ready to move,29997425,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,5,3725,8053,Ready to move,29997425,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
bopal,3,2415,6832,Ready to move,16499280,JP Iscon Platinum,https://www.makaan.com/ahmedabad/jp-iscon-group-iscon-platinum-in-bopal-644865
